[178, -2.3568453858917526]
[510, -2.236412142765978]
[7, -1.7408455087059334]
[5, -1.6386948362222127]
[149, -1.406262531212954]
[412, -1.3546431135739432]
[915, -1.343554743842939]
[923, -1.3280259814295943]
[177, -1.2756752145968315]
[988, -1.2742000966347447]
[9, -1.242129296721373]
[762, -1.2391407953602298]
[8, -1.2260551127703083]
[677, -1.1640308768044756]
[55, -1.1133618333383972]
[302, -1.0976574877162262]
[831, -1.0795647034561466]
[695, -1.0193344308589378]
[651, -0.9591207144664498]
[599, -0.9369071565849939]
[477, -0.9359040390889883]
[971, -0.9005864499684132]
[30, -0.8911425390846115]
[773, -0.8663153327210116]
[27, -0.8607725355506443]
[514, -0.8552135796329031]
[855, -0.8447774106756599]
[869, -0.8407587564108743]
[849, -0.8107572820360038]
[11, -0.8078779379699916]
[51, -0.7891441657530984]
[141, -0.7627663018437463]
[34, -0.760181626898058]
[794, -0.7434043011753205]
[1011, -0.721951959262144]
[31, -0.7174503612187105]
[44, -0.7079339251548589]
[736, -0.6804824216693343]
[62, -0.6736392716027595]
[312, -0.654937247810866]
[679, -0.6541640665083254]
[404, -0.6440462706030418]
[202, -0.6414566470903331]
[85, -0.6322533181059098]
[907, -0.6319103517765726]
[1010, -0.6090901577716282]
[72, -0.6036687007344586]
[826, -0.5403092079619103]
[386, -0.5194681054128905]
[669, -0.5037893326003108]
[612, -0.5019447793318279]
[458, -0.48782028292790386]
[796, -0.4834448022884329]
[358, -0.47964645083234914]
[249, -0.479074954973655]
[74, -0.4781858397061173]
[604, -0.47671303443681257]
[76, -0.46741109231641614]
[735, -0.4638465864957552]
[24, -0.4572451646572557]
[134, -0.4504902922402468]
[746, -0.4474021596003328]
[21, -0.4423561558837282]
[365, -0.43844784459814984]
[187, -0.4285222868604613]
[115, -0.42052982341958706]
[93, -0.4163754315314112]
[728, -0.41537059952399874]
[481, -0.4148497435832389]
[14, -0.41216755137692795]
[825, -0.40407745084182495]
[724, -0.3996553490617606]
[349, -0.39909983231648305]
[957, -0.3717060409630099]
[303, -0.3554935657980586]
[355, -0.3474755372028158]
[1023, -0.34549695270336117]
[897, -0.34419384609784537]
[297, -0.32962181363715465]
[986, -0.32090086491323494]
[295, -0.3181640395873462]
[719, -0.31740698093983805]
[103, -0.3169869389713568]
[928, -0.311749010611007]
[191, -0.3038093473236056]
[155, -0.30310022803602416]
[611, -0.29113963627473083]
[324, -0.2870580237499635]
[756, -0.2775112415035883]
[119, -0.27368816503820614]
[516, -0.2732042504253298]
[135, -0.27191281457976374]
[443, -0.2708081422438463]
[158, -0.24967436388361774]
[231, -0.24314714040061822]
[800, -0.23967275589255377]
[753, -0.23469156151367362]
[943, -0.2249140675092031]
[491, -0.22069353067971262]
[448, -0.20330925073659142]
[33, -0.19541319434267823]
[508, -0.18310345347257387]
[327, -0.15386531162433015]
[142, -0.1532889074118568]
[490, -0.15119660415295957]
[411, -0.1431476073038601]
[364, -0.14258468352566664]
[408, -0.13931349182001135]
[360, -0.13421861450273342]
[225, -0.13210152999002528]
[263, -0.1280721848960032]
[760, -0.12634650947618953]
[420, -0.12633953068524267]
[175, -0.12253632821168728]
[465, -0.11154078962927438]
[901, -0.10196705017974404]
[520, -0.0993814163848868]
[958, -0.09509236082071648]
[145, -0.07238471083332981]
[258, -0.06078696016471165]
[160, -0.059589898955984044]
[188, -0.05699557670801186]
[421, -0.05577877680969334]
[625, -0.052090800991045696]
[171, -0.040043137230415325]
[593, -0.03186499308806109]
[35, -0.030292924167848907]
[1006, -0.024091262530692194]
[151, -0.0232796656652585]
[822, -0.019665962639990445]
[460, -0.004290549666539245]
[560, 0.002522967716666609]
[558, 0.0034383914385280774]
[526, 0.014218870892388802]
[759, 0.01866564790939306]
[991, 0.02508514731812607]
[362, 0.034049042642161825]
[645, 0.042005339586367096]
[549, 0.04725990120653563]
[314, 0.04858945234780129]
[539, 0.05364758415437732]
[950, 0.05793555155253056]
[730, 0.06711915002161699]
[930, 0.0788330881723559]
[857, 0.08727775585157295]
[835, 0.0905186480912083]
[220, 0.12107780664833201]
[861, 0.12771486170945104]
[487, 0.1413579285799816]
[748, 0.15361308173250113]
[185, 0.15423287308344086]
[283, 0.1773901025065932]
[234, 0.18354876763877082]
[652, 0.19485237401774846]
[683, 0.22575032214074742]
[433, 0.24740362110444608]
[461, 0.24905870996663834]
[839, 0.26729699006071334]
[551, 0.2683891099995238]
[787, 0.3055190505336165]
[505, 0.313779891980821]
[384, 0.32424790804521275]
[653, 0.3259872690915677]
[397, 0.40813055507935886]
[649, 0.45570823743892497]
[684, 0.6639611894924788]
[606, 0.8527778897018674]
[995, 1.1808991265047637]
0.773069255112
0.00324720713326
